index,Bin_ID,Other_bin,count_raw,norm_val,count_normed
159,17,59,25,12409.6632566,310241.581415
160,17,60,22,11487.8411121,252732.504466
161,17,61,31,10764.6521823,333704.217651
162,17,62,36,10522.1517973,378797.464703
163,17,63,46,10318.1294597,474633.955148
164,17,64,57,10184.6782337,580526.659322
165,17,65,38,10107.9115803,384100.640051
166,17,66,35,10053.2673703,351864.35796
167,17,67,36,9954.03670087,358345.321231
168,17,68,58,10021.8217485,581265.661415
169,17,69,39,9913.58106704,386629.661615
170,17,70,51,9934.62972143,506666.115793
171,17,71,40,10820.3552541,432814.210164
172,17,72,33,11224.6289876,370412.756592
173,17,73,33,11469.9290124,378507.657408
174,17,74,27,11431.9634858,308663.014117
175,17,75,27,10346.0420738,279343.135993
176,17,76,43,9561.07599622,411126.267838
177,17,77,41,9245.37343701,379060.310917
178,17,78,58,9040.95625934,524375.463042
179,17,79,48,8860.00110878,425280.053221
180,17,80,41,8923.18030102,365850.392342
181,17,81,33,8989.13716537,296641.526457
182,17,82,43,9188.91275711,395123.248556
183,17,83,41,9652.39872781,395748.34784
184,17,84,32,10740.4375952,343694.003047
185,17,85,29,11241.4253912,326001.336346
186,17,86,38,11280.7126335,428667.080074
187,17,87,45,10949.4032772,492723.147475
188,17,88,36,10975.6047786,395121.772031
189,17,89,33,11825.7597356,390250.071276
190,17,90,34,11406.6860588,387827.326
191,17,91,40,10045.6581261,401826.325043
192,17,92,55,9488.45170072,521864.84354
193,17,93,38,9426.23032425,358196.752322
194,17,94,54,9510.04242149,513542.29076
195,17,95,36,9578.03879963,344809.396787
196,17,96,35,9742.98068542,341004.32399
197,17,97,42,9770.61356258,410365.769628
198,17,98,44,9998.85400993,439949.576437
199,17,99,41,10588.3962929,434124.24801
200,1,0,24,9567.39424527,229617.461886
201,1,1,39,9989.74028019,389599.870928
202,1,2,30,10475.8568965,314275.706895
203,1,3,38,10463.3718485,397608.130244
204,1,4,47,10516.8410668,494291.530141
